TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionYear,TransactionMonth,TransactionDay,TransactionHour,TransactionWeekday,DaysSincePrevious,Cluster,Target
255.26,0,37,1,45.0,0,50.0,1.0,14815.87,2023,10,27,16,4,-374,2,2
124.76,1,39,1,49.0,1,45.0,1.0,5764.72,2023,10,16,16,0,-385,0,0
78.13,1,25,1,26.0,3,145.0,1.0,900.61,2023,11,21,16,1,-349,1,1
649.28,1,38,0,75.0,2,137.0,1.0,4875.86,2023,3,2,17,3,-613,0,0
795.31,1,23,0,66.0,0,90.0,2.0,7914.88,2023,10,12,17,3,-389,0,0
335.63,1,28,2,55.0,2,216.0,1.0,1019.39,2023,1,24,17,1,-650,1,1
328.47,1,35,0,63.0,2,119.0,1.0,4323.66,2023,7,31,18,0,-462,0,0
34.02,1,30,2,38.0,0,19.0,1.0,14214.48,2023,1,9,16,0,-665,2,2
241.42,0,5,2,57.0,0,116.0,1.0,13357.02,2023,4,20,18,3,-564,2,2
55.32,1,40,0,19.0,3,117.0,1.0,241.79,2023,4,12,16,2,-572,1,1
304.31,1,21,1,27.0,3,33.0,1.0,868.61,2023,7,26,16,2,-467,1,1
435.27,1,6,1,74.0,2,90.0,1.0,4673.28,2023,10,4,17,2,-397,0,0
164.49,1,3,1,26.0,3,75.0,1.0,1509.27,2023,12,13,16,2,-327,1,1
510.24,1,28,2,19.0,3,105.0,1.0,781.7,2023,10,9,16,0,-392,1,1
626.9,1,10,2,26.0,3,138.0,1.0,265.51,2023,11,27,16,0,-343,1,1
22.01,0,34,2,41.0,1,175.0,1.0,1335.09,2023,3,27,16,0,-588,1,1
425.34,0,18,2,69.0,2,121.0,1.0,3907.54,2023,2,13,16,0,-630,1,1
424.56,1,29,2,51.0,1,264.0,1.0,5183.85,2023,2,21,17,1,-622,0,0
85.43,1,41,1,67.0,0,145.0,1.0,14904.9,2023,6,7,16,2,-516,2,2
169.5,1,36,1,28.0,3,142.0,1.0,918.88,2023,9,7,16,3,-424,1,1
104.63,1,29,0,62.0,2,90.0,1.0,4477.78,2023,3,29,17,2,-586,0,0
316.95,1,23,1,25.0,3,83.0,1.0,1324.03,2023,8,4,17,4,-458,1,1
60.54,0,8,1,57.0,2,52.0,1.0,3534.93,2023,12,14,17,3,-326,1,1
292.56,0,9,1,68.0,2,61.0,1.0,4638.37,2023,3,3,17,4,-612,0,0
386.52,1,16,1,48.0,1,28.0,1.0,5630.61,2023,6,9,16,4,-514,0,0
112.07,1,18,1,23.0,3,51.0,1.0,930.3,2023,10,2,16,0,-399,1,1
568.52,1,16,0,46.0,1,152.0,1.0,5499.91,2023,10,6,18,4,-395,0,0
263.99,1,9,1,79.0,2,227.0,2.0,4175.02,2023,5,16,16,1,-538,0,0
349.64,1,19,2,48.0,1,226.0,1.0,6651.62,2023,11,7,16,1,-363,0,0
601.4,0,30,1,56.0,1,104.0,1.0,8458.29,2023,5,30,17,1,-524,0,0
5.77,1,5,2,50.0,0,124.0,1.0,13988.12,2023,11,2,16,3,-368,2,2
201.33,0,26,1,42.0,1,186.0,1.0,2585.07,2023,3,29,17,2,-586,1,1
298.42,1,16,1,56.0,2,225.0,1.0,3014.75,2023,4,25,16,1,-559,1,1
521.06,1,0,1,25.0,3,128.0,1.0,1951.42,2023,4,18,18,1,-566,1,1
117.28,0,2,2,60.0,1,16.0,1.0,3665.77,2023,2,9,16,3,-634,1,1
189.12,0,16,1,32.0,1,103.0,1.0,977.01,2023,11,13,16,0,-357,1,1
133.55,1,1,0,44.0,1,220.0,1.0,3846.28,2023,7,18,16,1,-475,1,1
143.21,1,9,2,35.0,1,135.0,1.0,6374.82,2023,1,13,17,4,-661,0,0
24.77,1,4,0,62.0,2,55.0,1.0,5866.01,2023,7,4,18,1,-489,0,0
233.92,0,17,2,26.0,3,280.0,1.0,6537.62,2023,10,20,16,4,-381,0,0
1212.51,1,16,1,20.0,3,24.0,1.0,605.95,2023,10,4,16,2,-397,1,1
232.12,1,13,0,37.0,1,51.0,1.0,6689.87,2023,12,28,17,3,-312,0,0
211.36,1,18,2,22.0,3,113.0,1.0,634.17,2023,6,12,17,0,-511,1,1
91.53,1,25,1,44.0,0,69.0,1.0,14676.05,2023,3,13,16,0,-602,2,2
120.29,1,24,1,19.0,3,77.0,1.0,1362.39,2023,12,18,18,0,-322,1,1
174.25,1,39,2,50.0,0,67.0,1.0,10528.34,2023,7,17,18,0,-476,2,2
183.71,1,10,0,38.0,1,102.0,1.0,552.52,2023,6,19,18,0,-504,1,1
345.39,0,31,1,58.0,1,80.0,1.0,6451.96,2023,1,2,16,0,-672,0,0
922.55,1,11,0,63.0,2,87.0,1.0,4715.84,2023,1,23,16,0,-651,0,0
259.91,1,10,2,49.0,0,170.0,1.0,7176.86,2023,11,6,16,0,-364,0,0
154.71,1,36,2,34.0,0,157.0,1.0,1523.72,2023,7,3,16,0,-490,1,1
1340.19,0,2,2,54.0,1,30.0,1.0,8654.28,2023,9,29,17,4,-402,0,0
24.56,1,23,1,64.0,0,69.0,1.0,9869.93,2023,10,20,17,4,-381,2,2
568.07,1,42,0,48.0,0,115.0,1.0,10556.81,2023,8,28,17,0,-434,2,2
9.61,0,36,2,58.0,0,179.0,1.0,12883.91,2023,6,22,18,3,-501,2,2
392.96,1,18,2,24.0,3,100.0,1.0,791.65,2023,11,20,16,0,-350,1,1
716.93,0,25,2,60.0,2,34.0,1.0,4064.02,2023,9,14,16,3,-417,0,0
223.85,1,18,0,53.0,1,55.0,4.0,2929.91,2023,10,2,16,0,-399,1,1
230.66,1,15,1,21.0,3,135.0,1.0,618.05,2023,3,27,18,0,-588,1,1
442.12,1,20,2,19.0,3,260.0,1.0,1375.8,2023,12,21,16,3,-319,1,1
644.17,1,35,0,29.0,1,72.0,1.0,1143.52,2023,3,2,16,3,-613,1,1
508.68,0,23,1,51.0,1,127.0,1.0,7708.41,2023,6,26,16,0,-497,0,0
858.63,0,37,1,27.0,3,185.0,1.0,1872.96,2023,4,18,17,1,-566,1,1
25.36,1,21,0,57.0,1,78.0,1.0,201.04,2023,7,17,17,0,-476,1,1
147.62,1,5,1,71.0,2,133.0,1.0,2115.8,2023,9,1,17,4,-430,1,1
115.02,1,35,1,37.0,0,175.0,1.0,7643.66,2023,9,11,16,0,-420,0,0
383.37,1,13,1,30.0,1,24.0,1.0,8901.93,2023,1,24,17,1,-650,0,0
98.54,0,12,2,20.0,3,167.0,1.0,9383.43,2023,8,11,16,4,-451,2,2
83.24,1,13,1,55.0,0,164.0,1.0,1181.31,2023,10,16,18,0,-385,1,1
196.16,1,41,1,27.0,1,146.0,1.0,9418.86,2023,2,24,16,4,-619,2,2
129.94,1,19,0,32.0,1,235.0,1.0,7954.92,2023,1,2,16,0,-672,0,0
306.9,1,7,2,46.0,1,51.0,1.0,9418.08,2023,11,30,16,3,-340,2,2
114.98,1,39,2,59.0,2,80.0,1.0,6144.68,2023,11,1,16,2,-369,0,0
756.59,1,34,1,27.0,3,17.0,1.0,420.65,2023,3,6,16,0,-609,1,1
503.76,1,20,2,22.0,3,35.0,1.0,447.82,2023,11,27,18,0,-343,1,1
143.03,1,35,0,63.0,2,147.0,1.0,7981.45,2023,7,31,16,0,-462,0,0
1045.22,1,8,0,53.0,2,73.0,1.0,1829.9,2023,11,22,16,2,-348,1,1
245.54,1,27,0,25.0,3,180.0,1.0,985.06,2023,3,21,16,1,-594,1,1
254.37,0,9,2,51.0,1,174.0,1.0,8849.26,2023,4,20,18,3,-564,0,0
213.76,0,9,0,78.0,2,282.0,1.0,3528.72,2023,3,1,17,2,-614,1,1
327.86,1,14,2,40.0,1,104.0,1.0,480.16,2023,2,10,16,4,-633,1,1
2.5,1,36,2,47.0,0,107.0,1.0,12145.27,2023,7,21,16,4,-472,2,2
300.08,0,2,2,68.0,0,47.0,1.0,13546.75,2023,10,9,17,0,-392,2,2
56.98,0,28,0,43.0,1,122.0,2.0,5688.37,2024,1,1,16,0,-308,0,0
407.65,1,4,2,26.0,1,62.0,1.0,8346.64,2023,7,7,16,4,-486,0,0
115.83,1,14,1,39.0,1,167.0,1.0,6481.04,2023,5,22,17,0,-532,0,0
53.57,1,15,0,69.0,2,121.0,1.0,1651.33,2023,8,16,16,2,-446,1,1
63.34,0,11,2,46.0,0,165.0,1.0,11174.94,2023,11,17,16,4,-353,2,2
317.87,1,11,2,27.0,3,91.0,1.0,145.5,2023,1,2,16,0,-672,1,1
331.65,1,32,2,41.0,1,61.0,1.0,4172.57,2023,8,25,17,4,-437,0,0
5.04,1,42,0,56.0,2,41.0,1.0,5558.36,2023,11,27,16,0,-343,0,0
214.54,0,11,2,70.0,0,247.0,1.0,11151.53,2023,8,4,17,4,-458,2,2
598.81,1,30,1,57.0,0,158.0,1.0,1415.52,2023,9,4,16,0,-427,1,1
841.28,1,40,2,26.0,3,80.0,1.0,1103.64,2023,8,9,17,2,-453,1,1
38.15,1,23,2,26.0,3,108.0,1.0,303.68,2023,9,7,16,3,-424,1,1
1036.66,1,35,1,58.0,0,144.0,1.0,5541.57,2023,7,11,16,1,-482,0,0
124.72,1,28,1,33.0,1,105.0,1.0,6309.8,2023,7,3,17,0,-490,0,0
302.45,0,35,1,78.0,2,40.0,1.0,5133.61,2023,9,25,17,0,-406,0,0
208.04,1,21,2,47.0,1,273.0,1.0,9344.98,2023,11,20,17,0,-350,2,2
5.77,0,20,1,23.0,3,254.0,1.0,1117.97,2023,11,17,17,4,-353,1,1
381.33,1,0,0,56.0,0,75.0,1.0,11835.35,2023,8,21,16,0,-441,2,2
16.16,1,25,0,50.0,0,124.0,1.0,14401.17,2023,10,16,16,0,-385,2,2
486.08,1,28,2,18.0,3,68.0,1.0,1748.69,2023,6,20,17,1,-503,1,1
336.39,1,35,1,21.0,3,18.0,1.0,1000.46,2023,1,16,16,0,-658,1,1
997.43,1,39,2,69.0,0,118.0,1.0,6810.05,2023,11,22,16,2,-348,0,0
234.57,1,6,2,23.0,3,120.0,1.0,263.98,2023,9,1,16,4,-430,1,1
6.0,1,6,2,30.0,0,246.0,1.0,5442.76,2023,10,23,18,0,-378,0,0
1049.92,1,11,0,80.0,2,21.0,1.0,2037.85,2023,10,23,16,0,-378,1,1
227.14,1,5,0,18.0,3,294.0,1.0,341.94,2023,7,3,17,0,-490,1,1
233.74,0,28,2,66.0,2,17.0,1.0,1066.59,2023,10,24,16,1,-377,1,1
211.36,0,17,1,69.0,2,166.0,1.0,6077.96,2023,9,25,16,0,-406,0,0
45.85,1,20,0,20.0,3,92.0,1.0,1659.15,2023,2,16,17,3,-627,1,1
973.39,1,34,1,77.0,2,296.0,1.0,2042.22,2023,8,30,17,2,-432,1,1
211.36,1,27,2,41.0,0,142.0,5.0,421.93,2023,4,13,18,3,-571,1,1
415.5,1,22,0,66.0,0,141.0,1.0,10113.66,2023,7,28,16,4,-465,2,2
265.76,1,30,2,54.0,2,92.0,1.0,4446.17,2023,2,6,17,0,-637,0,0
69.4,1,41,2,80.0,2,113.0,1.0,6452.77,2023,7,24,18,0,-469,0,0
332.93,0,0,1,35.0,1,293.0,1.0,2788.2,2023,11,20,16,0,-350,1,1
267.9,1,35,2,20.0,3,160.0,1.0,596.16,2023,10,9,16,0,-392,1,1
496.03,1,37,1,61.0,0,265.0,1.0,12904.66,2023,11,3,16,4,-367,2,2
376.26,1,40,0,37.0,1,245.0,1.0,9062.4,2023,2,15,16,2,-628,2,2
83.02,0,39,2,36.0,1,171.0,1.0,9009.56,2023,9,4,17,0,-427,2,2
93.26,0,27,2,20.0,3,72.0,1.0,1152.2,2023,7,27,16,3,-466,1,1
803.37,0,22,1,68.0,0,129.0,1.0,12168.37,2023,4,17,16,0,-567,2,2
35.76,1,5,1,23.0,3,122.0,1.0,611.86,2023,9,19,17,1,-412,1,1
28.53,1,42,2,62.0,0,99.0,1.0,8670.53,2023,5,31,16,2,-523,0,0
139.53,0,21,2,53.0,0,177.0,1.0,10098.86,2023,10,9,17,0,-392,2,2
307.57,1,11,1,33.0,0,285.0,1.0,5307.74,2023,1,9,16,0,-665,0,0
60.65,0,40,1,56.0,2,53.0,1.0,1047.28,2023,5,26,18,4,-528,1,1
74.86,1,26,1,70.0,0,125.0,1.0,6921.48,2023,8,14,17,0,-448,0,0
211.36,1,18,1,51.0,2,137.0,1.0,1475.46,2023,11,24,18,4,-346,1,1
231.91,1,22,0,34.0,1,165.0,1.0,112.76,2023,1,31,18,1,-643,1,1
126.21,1,3,1,75.0,2,268.0,1.0,5669.66,2023,2,14,16,1,-629,0,0
506.28,0,6,2,53.0,2,162.0,2.0,1309.95,2023,5,2,17,1,-552,1,1
304.35,1,15,1,31.0,1,36.0,1.0,4057.1,2023,12,4,17,0,-336,0,0
281.85,1,11,0,22.0,3,109.0,1.0,1585.98,2023,5,16,17,1,-538,1,1
777.88,1,15,1,31.0,1,17.0,1.0,6825.55,2023,3,20,16,0,-595,0,0
119.18,1,20,1,56.0,2,96.0,1.0,5516.5,2023,8,25,18,4,-437,0,0
177.19,1,6,2,76.0,2,43.0,1.0,5343.3,2023,5,15,17,0,-539,0,0
260.88,1,10,1,22.0,3,36.0,1.0,903.05,2023,5,29,16,0,-525,1,1
169.47,1,6,2,24.0,3,19.0,1.0,1806.16,2023,3,22,16,2,-593,1,1
73.23,1,32,1,26.0,3,14.0,1.0,787.74,2023,5,19,16,4,-535,1,1
1362.55,1,12,0,29.0,1,106.0,1.0,2429.68,2023,2,10,18,4,-633,1,1
792.57,1,3,0,19.0,3,164.0,1.0,770.37,2023,5,22,16,0,-532,1,1
237.06,1,31,2,71.0,2,46.0,1.0,1182.77,2023,12,18,16,0,-322,1,1
34.17,0,30,2,54.0,1,54.0,1.0,726.55,2023,11,21,16,1,-349,1,1
740.25,1,30,2,41.0,0,123.0,1.0,14464.3,2023,7,19,17,2,-474,2,2
453.54,1,0,0,58.0,0,82.0,1.0,12046.3,2023,4,19,16,2,-565,2,2
300.47,1,17,1,73.0,2,100.0,1.0,7885.64,2023,11,13,16,0,-357,0,0
110.93,0,41,1,19.0,3,201.0,1.0,1952.35,2023,4,7,16,4,-577,1,1
201.69,1,19,0,59.0,0,299.0,1.0,7328.52,2023,1,3,16,1,-671,0,0
399.21,1,32,0,59.0,1,109.0,1.0,3210.39,2023,1,30,16,0,-644,1,1
1041.88,1,17,2,78.0,2,57.0,1.0,5726.2,2023,9,6,16,2,-425,0,0
630.36,1,23,0,62.0,2,52.0,1.0,1363.65,2023,3,2,16,3,-613,1,1
10.94,0,30,0,60.0,1,245.0,1.0,1241.99,2023,10,23,17,0,-378,1,1
215.9,1,20,0,38.0,0,235.0,1.0,7873.28,2023,1,4,16,2,-670,0,0
1422.55,1,42,1,79.0,2,165.0,1.0,5674.32,2023,7,10,17,0,-483,0,0
226.37,1,21,1,49.0,0,141.0,1.0,9840.04,2023,9,18,17,0,-413,2,2
444.89,0,19,1,43.0,0,101.0,1.0,10328.23,2023,9,11,16,0,-420,2,2
280.57,0,41,2,25.0,3,24.0,1.0,293.24,2023,1,27,17,4,-647,1,1
488.54,1,17,1,52.0,1,132.0,1.0,7486.63,2023,7,3,17,0,-490,0,0
3.3,0,20,1,50.0,0,131.0,1.0,11385.37,2023,3,27,16,0,-588,2,2
199.39,1,7,1,69.0,2,165.0,1.0,7264.79,2023,8,21,16,0,-441,0,0
20.36,1,40,1,62.0,2,75.0,1.0,2762.48,2023,7,24,17,0,-469,1,1
113.64,1,11,2,45.0,2,32.0,1.0,6675.03,2023,10,24,17,1,-377,0,0
493.11,1,7,1,53.0,2,236.0,1.0,7432.99,2023,7,31,16,0,-462,0,0
307.41,1,20,0,19.0,3,14.0,1.0,1057.0,2023,6,12,17,0,-511,1,1
11.18,1,1,2,43.0,0,161.0,1.0,5956.89,2023,11,30,16,3,-340,0,0
313.82,1,40,1,59.0,1,151.0,1.0,7261.59,2023,11,15,18,2,-355,0,0
51.0,1,39,1,64.0,2,107.0,1.0,4943.16,2023,1,30,16,0,-644,0,0
140.98,1,22,1,60.0,1,100.0,1.0,8127.48,2023,5,25,16,3,-529,0,0
288.04,1,10,0,68.0,2,63.0,1.0,1748.02,2023,8,24,16,3,-438,1,1
800.55,1,28,0,31.0,1,108.0,1.0,9660.22,2023,5,4,16,3,-550,2,2
485.54,1,15,0,46.0,1,143.0,1.0,6371.51,2023,2,6,17,0,-637,0,0
521.15,1,18,0,54.0,0,214.0,1.0,9442.47,2023,2,17,18,4,-626,2,2
321.79,0,33,0,63.0,2,112.0,1.0,5959.2,2023,8,7,17,0,-455,0,0
304.93,1,32,0,65.0,0,158.0,1.0,13531.22,2023,2,24,16,4,-619,2,2
432.08,1,12,0,40.0,0,145.0,1.0,11500.62,2023,7,31,16,0,-462,2,2
694.2,1,25,0,61.0,2,72.0,1.0,1389.37,2023,12,7,16,3,-333,1,1
116.86,1,21,0,55.0,1,171.0,1.0,6706.56,2023,3,20,18,0,-595,0,0
211.36,0,11,1,57.0,0,149.0,1.0,7175.29,2023,3,3,18,4,-612,0,0
74.88,1,1,0,25.0,3,202.0,1.0,420.67,2023,5,24,16,2,-530,1,1
211.36,1,30,1,75.0,2,99.0,1.0,7323.53,2023,5,22,16,0,-532,0,0
134.7,1,13,0,50.0,0,106.0,1.0,8395.85,2023,8,21,16,0,-441,0,0
890.24,0,19,2,33.0,1,161.0,1.0,5140.93,2023,7,7,18,4,-486,0,0
361.27,1,29,0,63.0,0,180.0,1.0,7945.57,2023,1,6,17,4,-668,0,0
131.56,1,5,1,44.0,0,42.0,1.0,5873.54,2023,10,19,16,3,-382,0,0
485.51,0,25,2,76.0,2,37.0,1.0,3074.45,2023,11,28,16,1,-342,1,1
547.87,1,8,0,64.0,2,131.0,1.0,6155.76,2023,7,10,17,0,-483,0,0
457.3,1,41,2,28.0,1,15.0,1.0,8318.29,2023,6,26,18,0,-497,0,0
506.24,1,6,0,58.0,1,64.0,1.0,230.09,2023,1,13,16,4,-661,1,1
486.59,1,16,1,57.0,2,119.0,1.0,2513.56,2023,12,19,16,1,-321,1,1
163.68,1,36,1,41.0,0,292.0,1.0,10090.05,2023,9,28,16,3,-403,2,2
581.65,1,4,0,22.0,3,176.0,1.0,480.19,2023,1,9,16,0,-665,1,1
52.01,1,23,0,48.0,0,85.0,1.0,1120.88,2023,11,7,16,1,-363,1,1
630.24,1,4,0,21.0,3,62.0,1.0,370.81,2023,11,29,18,2,-341,1,1
523.74,1,28,0,43.0,0,159.0,1.0,13498.55,2023,11,2,16,3,-368,2,2
705.6,1,31,1,40.0,0,124.0,3.0,14804.7,2023,2,20,18,0,-623,2,2
217.5,0,10,1,46.0,1,35.0,1.0,3057.4,2023,10,23,18,0,-378,1,1
91.48,1,13,0,51.0,0,141.0,1.0,14942.78,2023,1,23,16,0,-651,2,2
5.25,1,38,0,39.0,0,49.0,1.0,14143.32,2023,11,13,18,0,-357,2,2
54.03,0,25,0,56.0,2,161.0,1.0,6736.3,2023,9,19,17,1,-412,0,0
736.73,1,22,1,48.0,1,10.0,1.0,3313.07,2023,11,27,16,0,-343,1,1
368.91,1,41,1,54.0,0,14.0,1.0,829.71,2023,3,10,17,4,-605,1,1
33.06,0,13,2,53.0,2,170.0,1.0,1540.87,2023,1,17,16,1,-657,1,1
66.5,0,21,2,32.0,1,144.0,1.0,6820.23,2023,5,4,16,3,-550,0,0
177.08,1,19,1,35.0,0,85.0,1.0,13475.14,2023,1,6,17,4,-668,2,2
588.54,1,32,1,32.0,1,130.0,1.0,714.45,2023,2,6,17,0,-637,1,1
173.5,1,26,0,21.0,3,282.0,1.0,1306.91,2023,10,23,17,0,-378,1,1
78.33,0,22,2,56.0,1,189.0,1.0,7255.33,2023,7,31,16,0,-462,0,0
40.66,1,21,1,59.0,2,156.0,1.0,1153.84,2024,1,1,16,0,-308,1,1
97.22,0,1,1,77.0,2,55.0,1.0,6647.73,2023,2,20,17,0,-623,0,0
34.07,1,30,1,22.0,3,81.0,1.0,8709.77,2023,11,6,17,0,-364,0,0
492.06,1,14,2,23.0,3,74.0,1.0,857.9,2023,10,19,16,3,-382,1,1
842.01,0,41,2,53.0,0,185.0,1.0,509.45,2023,9,12,16,1,-419,1,1
73.55,1,1,0,51.0,1,158.0,1.0,2812.06,2023,1,9,16,0,-665,1,1
760.53,1,31,2,57.0,1,118.0,1.0,6179.91,2023,9,4,18,0,-427,0,0
273.08,0,15,1,45.0,1,134.0,1.0,6609.3,2023,1,30,16,0,-644,0,0
371.69,1,37,1,67.0,2,143.0,1.0,3484.32,2023,12,22,16,4,-318,1,1
218.96,1,39,0,18.0,3,13.0,1.0,754.21,2023,8,30,16,2,-432,1,1
227.39,1,1,2,18.0,3,65.0,1.0,751.09,2023,12,25,16,0,-315,1,1
237.99,0,18,1,39.0,0,86.0,1.0,8510.09,2023,5,8,16,0,-546,0,0
186.6,1,13,2,58.0,0,13.0,1.0,1508.72,2023,7,4,16,1,-489,1,1
341.15,1,38,2,18.0,3,148.0,1.0,511.37,2023,2,13,17,0,-630,1,1
434.58,1,22,0,59.0,0,215.0,1.0,12648.32,2023,9,6,16,2,-425,2,2
312.88,0,32,1,54.0,1,44.0,1.0,233.21,2023,5,26,18,4,-528,1,1
75.15,1,4,0,23.0,3,154.0,1.0,1092.92,2023,9,18,17,0,-413,1,1
23.3,1,20,0,59.0,1,161.0,1.0,6711.15,2023,8,14,18,0,-448,0,0
47.38,0,39,2,25.0,3,61.0,1.0,459.37,2023,2,8,18,2,-635,1,1
512.81,1,34,1,79.0,2,30.0,1.0,6994.34,2023,7,19,16,2,-474,0,0
488.15,1,21,1,43.0,1,168.0,1.0,7071.09,2023,7,31,16,0,-462,0,0
12.82,1,13,0,44.0,1,156.0,1.0,9045.19,2023,4,5,18,2,-579,2,2
66.9,0,5,2,79.0,2,129.0,4.0,5238.71,2023,4,17,16,0,-567,0,0
535.91,1,19,2,43.0,1,22.0,1.0,9642.12,2023,7,7,16,4,-486,2,2
270.72,0,42,2,26.0,1,53.0,1.0,6263.96,2023,7,3,18,0,-490,0,0
97.98,1,10,1,72.0,2,18.0,1.0,7460.33,2023,2,6,16,0,-637,0,0
196.08,1,37,2,61.0,2,98.0,1.0,4233.82,2023,8,25,16,4,-437,0,0
251.18,1,38,0,42.0,1,246.0,1.0,8303.9,2023,6,1,16,3,-522,0,0
44.52,1,12,2,28.0,3,205.0,1.0,314.28,2023,3,28,18,1,-587,1,1
178.87,1,3,2,35.0,0,180.0,1.0,5241.23,2023,5,23,16,1,-531,0,0
1176.28,0,18,0,54.0,1,174.0,5.0,323.69,2023,12,20,16,2,-320,1,1
386.68,1,27,1,46.0,0,128.0,1.0,6863.06,2023,10,31,16,1,-370,0,0
167.14,1,10,2,76.0,2,20.0,1.0,3877.73,2023,4,24,18,0,-560,1,1
345.22,1,14,1,69.0,2,253.0,1.0,4046.58,2023,9,5,16,1,-426,0,0
74.85,1,33,0,72.0,2,117.0,1.0,2409.73,2023,12,25,17,0,-315,1,1
671.73,1,42,1,58.0,1,54.0,1.0,5211.88,2023,10,16,16,0,-385,0,0
255.04,1,39,0,45.0,1,152.0,1.0,6217.86,2023,11,23,16,3,-347,0,0
45.77,1,30,2,25.0,3,109.0,1.0,5978.12,2023,2,9,17,3,-634,0,0
329.69,0,35,2,26.0,3,66.0,1.0,1671.66,2023,1,9,16,0,-665,1,1
362.04,0,30,1,58.0,0,198.0,2.0,8421.88,2023,7,10,16,0,-483,0,0
11.92,1,36,1,53.0,0,52.0,1.0,14611.9,2023,10,9,17,0,-392,2,2
47.42,1,36,0,64.0,0,28.0,1.0,8253.52,2023,12,19,16,1,-321,0,0
35.99,1,24,1,63.0,2,129.0,1.0,4489.79,2023,1,19,16,3,-655,0,0
151.19,0,27,1,37.0,0,96.0,1.0,11903.82,2023,5,5,16,4,-549,2,2
242.62,0,37,2,22.0,3,234.0,1.0,483.02,2023,7,10,16,0,-483,1,1
48.72,1,41,1,21.0,3,17.0,1.0,816.08,2023,9,29,18,4,-402,1,1
43.46,1,4,0,25.0,3,80.0,1.0,578.06,2023,7,21,17,4,-472,1,1
1036.21,1,29,2,25.0,3,126.0,1.0,477.3,2023,7,21,18,4,-472,1,1
443.79,1,19,0,53.0,2,87.0,1.0,3133.85,2023,10,9,18,0,-392,1,1
